x0,x1,x2,x3,label
-0.986667,-0.723466,0.525376,-0.198075,1
-0.762477,-0.965290,0.916754,0.965599,1
0.655285,0.952798,-0.739976,-0.545170,1
-0.511755,0.311117,0.513524,0.437756,0
0.273530,-0.715569,-0.427995,0.267552,0
-0.893930,0.279476,0.091942,-0.100946,0
0.992247,-0.280247,0.131307,-0.106723,0
0.846098,0.183826,-0.614957,-0.833929,1
0.159371,-0.696599,-0.702509,0.137169,0
-0.123363,0.327407,-0.166983,-0.564122,1
0.506748,-0.241646,-0.813900,-0.180348,0
-0.998140,-0.032803,-0.787887,-0.538180,0
0.435292,-0.807029,-0.139934,-0.735311,0
-0.990540,-0.166560,0.388546,-0.645701,1
-0.574861,0.433013,-0.353886,0.413064,0
0.143306,-0.725824,0.197403,0.006553,1
0.570806,-0.021316,-0.423831,0.560665,0
0.701102,0.024777,0.446548,0.145438,1
0.241346,-0.413345,-0.046238,-0.278239,0
0.757039,0.602474,-0.954469,-0.992790,1
0.865505,0.477100,-0.954562,-0.382711,1
-0.990545,-0.674111,-0.740507,0.638305,0
0.841875,0.165723,-0.102840,0.288132,1
0.753489,-0.040433,-0.911928,-0.178879,0
-0.425944,-0.079208,-0.724284,0.333398,0
0.978739,-0.016491,0.769308,-0.375201,1
-0.369192,0.845172,0.735128,0.773705,0
0.591916,-0.512301,0.408553,0.581006,0
0.031208,0.583352,-0.191949,0.539464,0

